Date,Ticket Number,Customer Email,Agent ID,Issue,Status,Average Handling Time,Resolution,Contact via,Ratings,AI Conversion
01-01-2025,ADB-4402-7925,debra169@aol.com,tel10037,Activation Issue,Resolved,28,Remote Support,Phone,3,AI Sold
01-01-2025,ADB-2533-6410,mallory509@aol.com,tel10022,Update,Resolved,29,Remote Support,Chat,4,AI Sold
01-01-2025,ADB-8571-8132,anne948@bellsouth.net,tel10029,How To,Resolved,26,Remote Support,Phone,5,Already has AI
01-01-2025,ADB-1694-2616,elizabeth711@sbcglobal.net,tel10088,Download/ Install,Resolved,28,Remote Support,Phone,5,AI Sold
01-01-2025,ADB-4522-7079,sophia460@yahoo.com,tel10068,Download/ Install,Resolved,20,Shared Self-Help Article,Phone,4,Not Interested
01-01-2025,ADB-9904-7733,sophia460@yahoo.com,tel10045,How To,Pending Agent Action,18,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-2565-8598,michael263@gmail.com,tel10050,Download/ Install,Resolved,30,Remote Support,Phone,4,Not Interested
01-01-2025,ADB-3084-4919,tiffany901@aol.com,tel10084,Provisioning Issue,Callback Scheduled,16,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-5316-2289,anne948@bellsouth.net,tel10024,Download/ Install,Callback Scheduled,18,SME Callback Scheduled,Chat,,Issue not Resolved
01-01-2025,ADB-2104-8259,tiffany901@aol.com,tel10077,Activation Issue,Resolved,20,Shared Self-Help Article,Chat,5,AI Sold
01-01-2025,ADB-1711-7432,adam146@bellsouth.net,tel10068,Activation Issue,Pending Agent Action,18,Issue not Resolved,Chat,,Issue not Resolved
01-01-2025,ADB-4630-7227,kristin544@aol.com,tel10098,How To,Resolved,17,Shared Self-Help Article,Chat,4,Already has AI
01-01-2025,ADB-6493-4737,donald784@aol.com,tel10032,Activation Issue,Resolved,19,Shared Self-Help Article,Chat,5,Not Interested
01-01-2025,ADB-4743-4729,james424@gmail.com,tel10048,Download/ Install,Pending Agent Action,17,Issue not Resolved,Phone,,Issue not Resolved
01-01-2025,ADB-8813-6402,kenneth509@bellsouth.net,tel10006,Update,Resolved,25,Remote Support,Chat,4,Already has AI
01-01-2025,ADB-6490-6166,stacy567@outlook.com,tel10090,Download/ Install,Resolved,30,Remote Support,Chat,5,Already has AI
01-01-2025,ADB-7640-8581,james862@sbcglobal.net,tel10085,How To,Resolved,29,Remote Support,Phone,,AI Sold
01-01-2025,ADB-4677-1641,james438@bellsouth.net,tel10018,Activation Issue,Resolved,18,Shared Self-Help Article,Chat,3,Not Interested
01-01-2025,ADB-5261-4258,katie398@gmail.com,tel10090,Activation Issue,Resolved,16,Shared Self-Help Article,Chat,4,Not Interested
01-01-2025,ADB-6397-2690,michael749@yahoo.com,tel10080,How To,Resolved,28,Remote Support,Phone,5,AI Sold
01-01-2025,ADB-2492-7426,kristin544@aol.com,tel10095,Activation Issue,Resolved,15,Shared Self-Help Article,Chat,,AI Sold
01-01-2025,ADB-6669-2918,kimberly618@comcast.net,tel10046,Provisioning Issue,Resolved,26,Remote Support,Chat,1,Already has AI
01-01-2025,ADB-3316-8235,ashley523@gmail.com,tel10074,How To,Resolved,19,Shared Self-Help Article,Phone,5,Already has AI
01-01-2025,ADB-1074-8003,olivia115@aol.com,tel10078,Provisioning Issue,Resolved,15,Shared Self-Help Article,Phone,3,AI Sold
01-01-2025,ADB-2899-3382,donald784@aol.com,tel10092,Activation Issue,Resolved,29,Remote Support,Phone,5,AI Sold
01-01-2025,ADB-2830-4463,traci205@aol.com,tel10066,Provisioning Issue,Resolved,19,Shared Self-Help Article,Phone,4,Already has AI
01-01-2025,ADB-2633-3112,laurie119@bellsouth.net,tel10075,Update,Resolved,18,Shared Self-Help Article,Chat,,Not Interested
01-01-2025,ADB-4866-3322,alejandra785@yahoo.com,tel10026,How To,Resolved,15,Shared Self-Help Article,Chat,,Already has AI
01-01-2025,ADB-7223-5401,john232@comcast.net,tel10045,Activation Issue,Resolved,27,Remote Support,Phone,3,Already has AI
